Probes,Inv_10b,Inv_12,Inv_27,Inv_28,Inv_29,Inv_32,Inv_33,Inv_35,Inv_40,Inv_43,Inv_49,Inv_47,Inv_48,Inv_51,Inv_53,Inv_55,Inv_58,Inv_8,Inv_9
s47_541-99,1,2,1,1,1,0,0,0,0,1,1,2,2,1,0,0,1,1,1
s2_541-59,2,1,1,2,2,2,2,2,1,0,1,2,2,1,0,0,0,2,2
s7_541-35,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,2,1,1
s2_541-55,2,1,1,1,1,0,0,1,1,0,1,1,1,1,2,1,1,2,2
s2_541-54,1,1,2,0,0,0,0,0,0,0,1,2,2,1,2,2,2,1,1
s2_541-57,0,1,0,1,2,0,0,1,2,1,1,2,2,1,1,1,2,0,0
s2_541-56,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0
s2_541-51,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,0,1,1
s2_541-50,0,1,0,0,1,1,1,1,2,1,1,1,1,1,1,1,2,0,0
s2_541-53,0,1,1,1,1,0,0,1,1,1,1,2,2,1,2,2,2,0,0
s2_541-52,0,2,1,2,1,1,1,1,1,1,1,0,0,1,2,2,1,0,0
s6_541-167,2,1,0,1,2,1,1,1,2,2,1,0,0,1,0,0,1,2,1
s4_541-63,1,1,0,2,2,2,2,2,1,0,2,1,1,2,0,1,0,1,1
s7_541-194,1,0,1,0,0,0,0,1,0,0,0,2,2,0,1,0,0,1,1
s7_541-192,0,0,0,2,2,2,2,2,2,1,1,0,0,1,2,1,2,0,0
s4_541-92,1,2,1,0,1,1,0,0,2,0,1,1,1,1,1,0,1,1,1
s2_541-48,1,2,0,0,0,2,2,1,1,1,1,2,2,1,2,2,0,1,1
s2_541-49,0,0,2,2,2,1,1,1,1,1,0,1,1,0,2,2,2,0,0
s2_541-46,1,1,1,2,1,1,0,0,0,0,0,1,1,0,2,2,2,0,1
s2_541-47,2,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2
s2_541-45,2,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,2,2
s2_541-43,1,2,0,1,1,2,2,1,0,0,2,1,1,2,1,1,1,1,1
s2_541-41,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,0,1,1,1
s4_541-95,1,1,2,2,1,1,1,1,1,0,0,2,2,0,2,1,0,1,1
s7_541-148,1,1,1,0,0,0,0,1,2,1,1,1,1,0,2,2,1,1,1
s7_541-183,1,1,1,1,0,0,0,1,1,1,2,0,0,2,0,0,1,1,1
s7_541-182,0,2,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0
s7_541-180,1,1,2,2,2,1,1,1,1,2,0,2,2,0,2,1,0,1,1
s2_541-70,0,1,0,2,2,2,2,1,1,1,2,0,0,1,1,1,2,0,0
s2_541-76,1,1,2,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1
s2_541-75,1,1,1,1,0,1,1,1,1,2,0,0,0,0,1,0,0,1,1
s2_541-74,2,2,1,2,2,1,1,1,0,1,1,1,1,1,1,1,1,2,2
s2_541-78,1,1,2,1,1,1,1,1,0,0,0,0,0,0,2,2,0,1,1
s5_541-102,0,1,1,1,1,0,0,0,1,1,1,2,2,1,2,1,1,0,0
s7_541-139,2,2,1,0,0,0,1,1,0,1,1,2,2,1,1,1,1,2,2
s4_541-96,1,0,2,1,1,1,1,1,2,1,2,1,1,2,0,0,1,1,1
s2_541-64,2,0,2,1,1,0,0,0,1,0,1,2,2,1,1,1,2,2,2
s2_541-65,2,2,0,1,1,1,1,1,2,1,1,0,0,1,0,0,1,2,2
s2_541-66,0,0,2,2,1,0,0,0,2,1,0,2,2,0,2,2,1,0,0
s2_541-67,0,1,1,1,1,0,0,0,1,0,1,2,2,1,1,1,0,0,0
s2_541-61,0,2,0,2,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0
s6_541-189,1,2,1,1,1,1,1,1,0,0,1,0,0,1,2,2,0,1,1
s6_541-186,1,2,1,1,1,1,0,0,2,2,2,2,2,2,2,2,2,1,1
s6_541-187,2,1,1,1,1,2,2,2,2,2,2,0,0,2,0,1,0,2,2
s6_541-185,1,1,2,2,2,2,2,2,1,1,1,0,0,1,0,0,1,1,1
s2_541-68,0,1,1,0,0,1,1,1,2,1,2,2,1,2,2,2,2,0,0
s4_541-39,2,1,1,1,1,0,0,1,1,1,2,1,1,2,1,2,2,1,2
s4_541-38,0,0,2,1,1,1,1,1,0,1,2,1,1,2,2,1,1,0,0
s4_541-37,0,1,2,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0
s4_541-31,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
s4_541-30,0,2,2,1,1,1,0,0,1,1,0,2,2,0,1,1,1,0,0
s7_541-72,1,0,0,2,2,1,1,1,1,1,0,1,1,0,1,0,2,1,1
s6_541-195,1,1,2,1,1,1,1,1,2,0,1,0,0,1,1,1,1,1,1
s67_541-113,2,1,2,0,0,0,1,1,0,0,2,1,1,2,0,0,1,2,2
s6_541-191,1,0,0,2,2,2,1,1,1,1,1,1,1,1,0,0,1,1,1
s6_541-190,1,1,1,1,1,0,0,0,0,0,1,2,2,1,2,1,1,1,1
s3_541-9,1,1,1,1,2,1,1,1,1,0,1,0,0,1,0,0,1,1,1
s4_541-27,1,0,2,0,0,1,1,1,1,1,1,2,2,1,1,1,1,1,1
s4_541-25,0,1,2,1,1,0,0,1,1,0,0,0,0,0,2,2,1,0,0
s4_541-23,1,1,0,2,2,2,2,1,1,1,1,1,1,1,0,0,2,1,1
s4_541-20,2,1,0,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2
s6_541-188,0,2,0,1,1,1,1,1,2,1,0,1,1,0,1,1,2,0,0
s7_541-138,1,2,2,2,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
s7_541-86,1,1,2,1,1,1,1,0,1,1,1,1,2,1,1,1,2,1,1
s7_541-132,1,1,0,1,2,1,0,1,0,1,2,1,1,2,2,1,0,1,1
s7_541-133,0,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,2,0,0
s7_541-136,1,2,2,0,0,0,0,0,1,0,2,2,2,2,1,0,1,1,1
s7_541-137,0,2,2,0,0,0,0,1,0,0,2,1,2,2,1,1,0,0,0
s7_541-134,0,1,2,0,0,0,0,0,2,1,0,1,1,1,2,2,1,0,0
s7_541-135,1,1,2,1,1,1,1,1,1,1,1,0,0,1,0,0,2,1,1
s4_541-16,1,1,1,1,1,1,1,0,0,0,2,1,2,2,1,1,0,1,1
s7_541-128,1,0,2,2,1,0,0,0,1,1,1,1,1,1,2,2,1,1,1
s7_541-121,1,1,2,1,1,1,1,1,2,0,1,0,0,1,1,1,1,1,1
s7_541-125,2,2,0,1,1,1,1,0,0,2,1,1,1,1,0,0,1,2,2
s7_541-124,1,0,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1
s7_541-126,0,2,1,1,1,0,0,0,0,0,2,2,2,2,1,1,2,0,0
s6_541-159,1,0,1,2,2,0,0,0,2,2,2,1,1,2,1,1,2,1,1
s6_541-158,1,2,1,1,1,2,2,2,2,2,0,2,2,0,0,0,0,1,1
s6_541-153,2,1,1,1,1,2,2,2,1,0,0,0,0,0,1,1,2,2,2
s6_541-152,2,1,1,1,1,1,1,2,1,1,0,1,1,0,1,1,2,2,2
s6_541-155,0,1,2,1,1,0,0,0,1,1,1,1,1,1,1,1,2,0,0
s6_541-154,0,2,1,1,1,1,0,0,1,1,1,2,2,1,2,2,1,0,0
s6_541-157,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,2,0,0
s6_541-156,1,2,0,2,2,1,1,0,1,2,0,2,2,0,2,2,0,1,1
s4_541-84a,1,2,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,0,1
s4_541-84b,2,2,2,1,2,1,1,0,1,2,0,0,0,0,1,1,2,2,2
s2_541-44,1,0,1,1,1,2,2,2,1,1,0,1,1,0,2,2,2,1,1
s2_541-42,0,2,1,1,1,1,1,1,0,1,2,0,0,2,0,0,1,0,0
s7_541-119,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,2,0,0
s7_541-117,2,1,1,2,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2
s7_541-110,1,1,1,1,0,0,1,1,1,1,2,1,1,2,1,2,1,1,1
s6_541-169,1,0,0,0,1,2,2,2,1,1,2,1,1,2,0,0,0,1,1
s6_541-164,1,1,1,2,2,2,2,2,2,0,2,1,0,2,2,2,1,1,1
s6_541-165,2,1,0,0,1,2,1,1,0,1,0,1,1,0,2,1,0,0,2
s6_541-166,2,0,2,1,1,2,1,1,2,1,1,1,1,1,0,0,1,2,2
s6_541-160,2,1,1,0,0,1,1,1,0,0,2,0,0,2,1,2,0,2,2
s6_541-161,1,1,1,0,0,1,1,1,0,1,0,2,2,0,1,1,1,1,1
s6_541-162,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
s6_541-163,0,2,1,0,0,0,1,2,0,0,1,1,1,1,1,1,0,0,0
s4_541-28a,2,1,1,2,2,2,2,2,0,1,0,1,1,0,2,2,1,2,2
s7_541-106,2,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,2,2
s7_541-105,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,2,2,2,2
s7_541-109,1,0,1,1,1,1,0,0,0,0,1,2,2,1,1,0,1,2,1
s6_541-173,1,1,2,2,2,0,0,1,0,0,0,1,1,0,1,1,2,1,1
s6_541-172,2,0,0,1,1,1,1,0,2,0,1,2,2,1,2,2,0,2,2
s6_541-171,2,1,1,1,1,1,1,1,0,0,2,1,1,2,2,2,2,2,2
s6_541-170,1,0,2,0,0,0,1,1,0,2,1,2,1,1,1,1,2,1,1
s6_541-174,2,2,1,0,0,0,1,1,1,1,0,0,0,0,2,2,1,2,2
s7_541-177,1,0,0,2,2,2,2,2,2,1,0,2,2,0,0,0,1,1,1
s7_541-175,0,2,2,1,1,1,2,2,2,1,0,1,1,0,0,0,1,0,0
s7_541-179,1,0,0,0,0,0,1,2,2,2,2,0,0,2,1,2,0,1,1
s6_541-107,0,1,2,1,1,0,0,0,1,1,2,1,1,2,0,0,1,0,0
s6_541-104,1,1,1,2,2,1,1,1,0,1,1,2,2,1,0,1,0,1,1
s6_541-103,1,0,1,2,2,2,1,1,0,0,2,1,1,2,0,0,1,1,1
s6_541-108,1,1,0,1,1,1,1,1,1,2,1,0,0,1,1,1,0,1,1
s25_541-62,0,0,2,1,1,0,0,0,0,1,1,1,1,1,1,1,2,0,0
s25_541-60,1,1,2,1,1,0,0,0,2,1,2,2,2,2,0,0,0,1,1
s7_541-168,2,0,1,1,1,1,1,2,1,0,0,2,2,0,1,1,2,2,2
s6_541-114,0,1,1,0,0,1,1,1,1,0,0,2,2,0,0,1,1,0,0
s6_541-111,1,1,1,0,0,0,0,0,1,1,0,2,2,0,0,0,2,1,1
s6_541-112,2,0,1,0,0,1,1,2,1,1,2,1,1,2,0,0,1,2,2
s6_541-118,0,2,2,1,0,1,1,1,1,0,0,0,0,0,2,2,2,0,0
s7_541-150,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1
s7_541-151,0,0,2,1,1,2,2,2,1,2,1,1,1,1,2,2,0,0,0
s6_541-120,0,2,2,1,1,1,2,1,0,0,1,2,2,1,1,1,1,0,0
s6_541-127,2,2,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,2
s4_541-28b,1,0,2,2,2,1,1,0,1,1,0,1,1,0,2,2,1,2,1
s4_541-93,2,2,0,0,0,1,1,1,1,1,1,2,2,1,0,0,1,2,2
s4_541-91,1,1,1,0,0,1,1,1,2,1,0,2,2,0,0,0,0,1,1
s4_541-97,0,1,1,1,1,2,2,2,1,0,1,0,0,1,2,2,1,0,0
s4_541-94,1,0,0,2,2,1,1,1,2,2,2,1,1,2,1,2,0,1,1
s7_541-149,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,2,1,1
s7_541-147,0,2,1,1,1,0,0,0,1,0,1,0,0,1,1,1,2,0,0
s7_541-146,1,0,2,0,1,1,2,1,1,1,2,2,2,2,0,2,1,1,1
s7_541-145,2,2,2,2,2,2,2,1,0,0,1,2,2,1,2,2,0,2,2
s7_541-144,1,1,1,2,1,2,1,1,0,1,0,2,2,0,1,1,0,1,1
s7_541-143,0,0,0,1,1,1,1,1,1,1,2,2,2,2,0,0,1,0,0
s7_541-142,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,0,1,2
s7_541-141,2,0,1,0,0,1,1,1,0,1,2,1,1,2,2,2,1,2,2
s7_541-140,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0
s67_541-193,1,0,0,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1
s3_541-17,0,1,1,1,1,1,1,1,1,2,0,1,1,0,1,0,0,0,0
s3_541-14,0,1,1,0,0,1,1,1,0,0,0,2,2,0,1,1,1,0,0
s3_541-13,0,1,2,0,1,1,1,0,0,0,1,1,1,1,2,2,1,0,0
s2_541-36,1,1,2,2,2,2,2,1,1,1,1,2,1,1,0,1,1,1,1
s2_541-34,1,0,1,0,0,0,0,0,0,0,1,2,2,1,0,1,1,1,1
s2_541-33,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,0,1,1
s2_541-32,0,2,1,1,1,1,1,2,1,1,1,2,2,1,2,2,1,0,0
s6_541-131,0,0,2,2,1,0,0,0,2,2,1,1,1,1,2,1,0,0,0
s6_541-130,0,2,1,2,0,0,1,1,1,1,2,2,2,2,1,1,2,0,0
s25_541-58,2,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,2,2
s4_541-88,0,1,1,1,1,1,1,1,2,0,0,2,2,0,2,2,1,0,0
s4_541-85,2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2
s4_541-87,0,0,1,1,1,0,0,1,1,0,1,2,2,1,1,1,0,0,0
s4_541-81,1,2,1,2,2,2,2,2,1,2,2,1,1,2,1,1,2,1,1
s4_541-83,1,1,1,0,0,1,1,2,0,0,1,1,1,1,0,1,1,1,1
s3_541-21,2,1,1,1,1,0,0,0,0,0,1,0,0,1,2,2,0,2,2
