Probes,Inv_17,Inv_19,Inv_23,Inv_25,Inv_27,Inv_28,Inv_29,Inv_32,Inv_40,Inv_41,Inv_43,Inv_53,Inv_54,Inv_61,Inv_62,Inv_7
s1_1192-57,2,2,1,1,0,0,0,1,2,2,1,2,2,2,1,2
s1_1192-50,1,1,1,1,2,1,1,0,1,1,1,1,2,1,0,2
s2_1192-58,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2
s1_1192-59,1,1,1,0,2,1,1,1,2,1,1,0,0,0,0,2
s3_1192-187,1,1,2,1,0,2,2,1,0,0,0,1,1,0,0,0
s3_1192-180,2,2,2,0,1,2,1,1,2,2,1,1,1,0,1,0
s4_1192-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s4_1192-115,0,0,1,1,2,0,0,1,0,0,0,0,2,0,1,1
s4_1192-114,0,0,2,1,1,1,1,1,1,1,1,1,1,0,0,0
s5_1192-174,1,1,1,1,1,0,0,2,1,1,0,0,2,2,2,0
s5_1192-178,0,0,1,1,1,1,1,0,2,1,0,1,1,1,1,0
s5_1192-179,0,0,1,2,0,2,1,1,2,2,1,2,2,2,2,1
s4_1192-118,1,0,1,0,1,1,0,1,2,2,2,1,0,0,0,1
s1_1192-48,1,1,1,2,1,2,2,1,0,0,0,1,1,1,1,0
s5_1192-139,0,0,1,0,0,1,1,1,2,1,1,1,1,2,2,1
s7_1192-148,0,0,1,1,2,1,1,1,0,0,0,2,1,0,0,0
s5_1192-145,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1
s5_1192-144,0,1,2,2,0,2,2,1,1,1,1,1,1,1,1,2
s5_1192-143,1,1,0,0,1,0,0,0,2,2,1,1,2,2,2,0
s5_1192-142,1,1,1,2,2,1,1,1,0,0,0,1,0,1,2,1
s5_1192-149,2,2,1,2,2,1,1,1,1,1,1,0,0,1,1,1
s4_1192-108,2,2,1,1,2,1,1,0,0,0,0,1,1,1,1,0
s4_1192-100,2,2,1,1,1,2,2,1,2,2,0,2,1,1,1,1
s1_1192-34,1,1,1,2,0,1,2,2,1,1,1,2,1,1,1,1
s1_1192-33,0,1,2,0,1,1,1,1,1,1,1,0,0,1,1,1
s1_1192-30,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0
s4_1192-36,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0
s1_1192-29,1,1,2,1,1,1,1,0,0,0,0,1,1,0,0,0
s2_1192-87,1,0,1,2,1,1,1,1,0,1,2,2,2,2,1,1
s2_1192-80,2,1,0,0,0,1,1,0,0,0,2,0,0,1,2,1
s2_1192-81,0,0,2,2,1,1,1,2,2,2,2,2,2,2,2,1
s2_1192-82,1,1,2,1,0,1,1,1,1,2,2,1,1,1,1,2
s2_1192-83,1,1,1,1,0,2,2,1,0,0,1,2,1,0,0,1
s2_1192-88,1,1,0,2,0,0,1,0,1,1,0,0,0,2,1,0
s3_1192-158,0,0,1,2,1,2,2,1,1,1,1,1,1,2,2,1
s4_1192-46,0,0,1,1,1,2,2,1,2,1,1,2,1,1,1,2
s3_1192-151,1,1,2,0,0,2,2,2,2,2,2,0,0,1,1,2
s3_1192-153,0,1,0,0,1,0,0,0,0,0,0,2,2,0,0,1
s3_1192-154,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2
s4_1192-43,2,2,1,0,1,1,1,1,1,1,0,1,1,1,1,1
s3_1192-156,1,2,1,2,1,0,0,0,1,1,1,1,2,1,1,1
s4_1192-41,1,1,0,2,0,2,2,1,1,1,1,0,0,0,0,2
s5_1192-129,2,2,1,0,2,1,1,2,1,0,0,1,2,1,1,1
s5_1192-128,1,1,2,1,1,2,2,2,2,1,1,1,1,0,2,0
s7_1192-183,1,1,1,1,0,1,1,0,0,1,2,2,2,1,1,1
s7_1192-181,2,2,1,1,0,1,2,2,1,1,2,1,1,0,0,2
s5_1192-124,2,2,2,1,1,1,1,1,1,1,2,1,2,1,0,0
s5_1192-121,0,0,2,0,1,0,0,1,1,1,0,1,1,0,0,0
s1_1192-11,1,1,0,1,2,1,1,0,1,2,1,0,1,1,1,1
s1_1192-12,0,0,2,1,1,1,1,1,0,0,0,0,0,1,1,1
s1_1192-15,2,1,0,0,2,1,1,1,1,1,1,0,0,1,1,2
s1_1192-16,1,1,1,0,0,0,0,0,1,1,0,1,1,1,2,0
s1_1192-17,1,1,2,1,1,1,2,1,0,0,0,1,1,2,2,0
s2_1192-92,1,1,0,0,1,2,2,1,1,0,0,0,1,0,0,0
s2_1192-94,1,1,0,0,1,0,2,2,0,1,0,2,2,0,2,1
s257_1192-84,0,0,1,2,1,1,1,1,1,1,2,2,1,2,2,2
s3_1192-169,1,1,0,1,1,1,1,2,2,2,2,1,1,0,0,1
s3_1192-168,2,2,1,1,1,2,2,1,0,0,0,1,2,0,0,1
s3_1192-165,2,1,0,0,0,0,0,1,1,1,1,2,2,0,0,0
s3_1192-164,0,0,0,2,1,2,2,1,2,2,2,0,2,1,1,0
s3_1192-167,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2
s3_1192-166,1,0,1,1,2,0,0,1,1,1,0,1,0,2,1,1
s3_1192-160,2,2,2,2,1,1,1,1,1,1,0,1,2,0,0,1
s3_1192-163,0,0,1,2,1,2,2,2,1,0,0,2,2,1,1,1
s12_1192-39,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
s1_1192-102,2,2,1,1,0,1,1,1,0,0,0,2,2,2,1,1
s2_1192-74a,2,2,1,1,2,2,2,2,1,1,2,2,2,0,0,1
s2_1192-85,0,1,2,2,2,2,2,1,2,1,1,2,2,0,0,0
s2_1192-86,1,1,2,1,2,1,1,1,1,1,0,1,1,2,1,0
s5_1192-138,0,0,1,2,1,1,1,1,2,1,0,1,1,1,1,2
s5_1192-135,1,1,2,0,1,1,1,1,0,0,1,2,2,1,1,2
s5_1192-137,1,1,2,0,1,0,0,0,1,2,1,1,0,1,1,1
s5_1192-130,0,0,1,2,2,1,1,1,1,1,0,1,2,0,0,2
s5_1192-131,0,1,1,1,0,0,0,1,1,1,1,2,2,2,2,1
s5_1192-132,2,2,2,1,2,2,2,0,2,1,1,1,0,1,0,1
s3_1192-172,2,2,1,2,0,2,1,1,1,1,1,1,1,1,1,1
s3_1192-170,1,1,2,0,1,1,0,1,1,1,1,1,1,0,0,1
s3_1192-171,1,0,2,2,0,0,1,1,2,2,1,2,2,2,2,1
s4_1192-66,0,0,2,1,1,1,1,2,0,0,1,1,1,0,0,1
s4_1192-69,0,0,1,0,1,0,0,0,1,0,0,2,2,2,1,2
s1_1192-2,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1
s5_1192-31,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0
s5_1192-35,0,1,2,1,1,0,0,1,2,2,1,0,0,2,2,2
s5_1192-103,2,1,1,0,2,1,1,1,1,0,0,2,2,2,2,1
s5_1192-105,1,1,0,1,1,1,1,1,1,1,1,2,2,1,1,0
