Probes,Inv_10b,Inv_15,Inv_16,Inv_25,Inv_29,Inv_32,Inv_33,Inv_35,Inv_4,Inv_40,Inv_49,Inv_51,Inv_53,Inv_58,Inv_62,Inv_7,Inv_9
s4_155-23,2,1,1,1,1,2,2,2,2,0,1,1,0,1,1,2,2
s2_155-280,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,1
s5_155-211c,1,0,0,1,1,0,0,0,1,1,1,0,0,0,2,1,1
s7_155-156,2,0,0,1,0,0,0,1,0,1,2,2,0,1,1,1,2
s7_155-152,1,1,1,0,2,1,1,1,2,2,2,2,1,1,1,1,1
s1_155-238,0,1,1,1,2,0,0,0,2,1,2,2,1,2,1,0,0
s1_155-233,1,1,1,0,0,1,2,2,0,1,2,2,1,1,0,2,1
s1_155-234,1,2,2,0,2,2,2,1,1,1,1,1,1,0,2,1,1
s7_155-93,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,2
s5_155-73,1,1,1,0,1,0,0,0,2,1,1,2,1,1,2,2,1
s5_155-70,1,0,0,1,1,1,1,1,1,2,1,1,0,0,1,1,1
s5_155-76,1,2,2,2,1,1,1,1,0,2,1,1,1,2,2,1,1
s5_155-91,2,1,1,1,1,1,0,0,2,2,0,0,2,0,0,2,2
s5_155-94,2,2,2,1,1,0,0,1,2,1,1,1,1,1,1,1,2
s5_155-124,0,1,1,1,2,1,1,0,2,0,2,2,1,1,1,0,0
s1_155-58,1,1,1,2,0,0,0,0,1,1,2,2,1,0,2,0,1
s57_155-11,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1
s2_155-29b,0,1,1,1,1,1,1,1,1,0,2,2,0,2,1,1,0
s57_155-64,1,2,2,2,1,2,2,2,1,0,2,2,1,1,1,2,1
s1_155-227,1,2,2,0,1,1,1,1,2,1,1,1,1,1,0,0,1
s1_155-222,2,1,1,0,1,1,0,0,0,1,1,1,1,1,1,2,2
s257_155-28,0,0,0,1,1,1,1,1,0,2,1,1,1,0,0,0,0
s257_155-281,0,0,0,2,1,1,1,1,1,1,0,0,0,0,2,0,0
s2_155-13,0,1,2,1,0,1,1,2,1,1,1,1,1,1,2,0,0
s2_155-16,0,1,0,0,1,1,1,1,1,1,0,0,1,1,2,0,0
s5_155-65,1,0,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1
s5_155-60,0,0,0,1,2,2,2,1,0,1,1,1,1,0,0,0,0
s5_155-61,1,1,1,1,1,0,0,2,1,2,1,1,0,2,2,0,1
