Probes,Inv_21,Inv_22,Inv_27,Inv_29,Inv_31,Inv_32,Inv_35,Inv_4,Inv_40,Inv_43,Inv_49,Inv_45,Inv_47,Inv_48,Inv_52,Inv_54,Inv_55,Inv_61,Inv_62,Inv_9
s3_502-32,2,1,1,1,2,2,2,1,1,1,0,2,1,1,1,0,0,0,0,0
s3_502-34,1,1,2,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2
s3_502-8,2,2,0,2,2,2,2,0,2,2,1,2,1,1,0,1,1,0,1,2
s3_502-7,2,2,1,1,2,2,2,1,1,2,1,2,1,1,2,1,1,0,0,0
s4_502-46,2,2,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1
s4_502-41,0,0,1,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1
s27_502-23,1,1,2,0,1,1,1,0,2,1,1,1,0,0,1,0,0,2,1,1
s67_502-112,0,0,1,2,1,1,0,0,1,0,0,0,0,1,0,2,2,1,1,1
s3_502-28,2,2,2,1,0,0,0,1,2,2,1,2,2,2,1,1,1,1,1,2
s3_502-22,1,1,2,1,0,0,0,0,1,2,1,2,1,1,1,2,2,1,1,1
s3_502-20,0,0,1,1,1,1,1,1,1,1,1,1,2,2,1,0,0,1,1,0
s3_502-24,0,0,1,1,2,2,1,1,0,0,1,0,0,0,1,2,2,2,2,2
s3_502-25,2,2,2,1,1,1,1,0,1,0,1,0,2,2,1,1,1,1,0,1
s6_502-157,1,1,1,2,2,2,1,1,1,2,0,2,1,1,1,0,0,1,0,0
s4_502-58,1,1,1,1,1,1,1,2,0,0,1,0,1,1,1,1,1,0,0,1
s4_502-57,2,2,1,0,1,1,1,0,2,2,0,2,2,1,0,1,1,0,1,1
s4_502-54,2,2,0,1,2,2,2,1,1,1,0,1,2,2,1,2,2,2,2,1
s4_502-52,1,1,0,1,1,1,0,1,2,1,0,1,1,1,1,1,1,2,2,1
s3_502-53a,1,1,0,1,1,1,1,1,1,1,2,1,0,0,0,0,0,1,0,2
s257_502-21,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1
s3_502-65a,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,1,0,1,0
s2_502-18,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,0,0,1
s2_502-19,0,1,2,0,0,0,2,1,2,2,1,2,1,1,1,1,1,0,0,1
s2_502-16,2,2,0,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1
s3_502-17,0,0,0,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,2,1
s3_502-14,1,1,0,2,2,2,2,1,0,1,2,1,1,1,2,1,1,1,1,2
s3_502-13,1,1,2,1,1,1,0,1,0,0,2,0,1,1,0,2,2,1,1,1
s3_502-12,1,1,0,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
s4_502-62,2,2,1,1,0,0,0,1,2,2,1,2,1,1,1,2,2,0,1,1
s4_502-61,1,1,2,1,1,1,1,1,0,0,2,0,1,2,2,1,1,0,1,0
s4_502-60,1,1,1,0,0,0,2,0,1,1,0,1,1,1,1,1,1,1,1,1
s4_502-64,1,1,2,1,1,1,1,2,2,0,2,1,0,0,1,2,2,1,1,1
s4_502-69,1,1,1,1,0,0,2,0,1,2,1,2,0,0,1,1,1,1,1,0
s4_502-68,0,0,2,0,2,2,1,2,2,1,0,1,1,1,0,0,0,2,2,1
s4_502-98,2,2,1,1,2,2,1,1,0,0,1,0,1,1,0,2,2,2,2,1
s7_502-123,0,1,1,0,0,0,2,1,1,1,0,1,1,1,1,2,2,0,0,1
s7_502-125,0,0,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,0,0,1
s4_502-73,2,2,1,1,0,0,0,2,1,2,2,2,1,1,2,0,0,1,1,1
