Probes,Inv_10a,Inv_11,Inv_17,Inv_25,Inv_29,Inv_3,Inv_32,Inv_35,Inv_38,Inv_39,Inv_40,Inv_42,Inv_43,Inv_49,Inv_53,Inv_55,Inv_58,Inv_60,Inv_62,Inv_7,Inv_9
s7_1034-173,1,1,1,2,1,1,1,1,1,1,1,0,1,1,0,0,1,1,2,0,1
s7_1034-170,2,2,0,0,2,2,2,2,2,2,2,2,1,2,1,1,1,0,0,2,2
s7_1034-175,0,0,0,2,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0
s7_1034-174,1,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,2,2,1,1,1
s7_1034-67,1,1,1,1,1,1,0,2,0,2,2,1,1,1,1,1,0,0,1,0,1
s6_1034-113,0,1,1,1,0,1,0,0,2,1,1,1,0,0,1,1,0,1,2,0,0
s6_1034-110,2,2,0,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,2,2
s6_1034-111,0,1,1,0,1,0,1,1,2,0,1,1,1,1,1,0,1,2,2,1,0
s6_1034-116,2,2,1,0,1,1,0,1,2,1,1,1,1,1,1,1,0,1,1,1,2
s6_1034-115,1,1,1,0,0,1,0,1,0,2,2,2,2,1,2,1,2,0,1,1,1
s7_1034-185,1,1,2,1,0,0,0,1,0,1,1,1,1,1,1,1,2,0,1,0,1
s7_1034-168,1,1,1,1,1,2,1,2,0,0,0,0,1,0,1,1,0,1,1,1,1
s7_1034-169,0,0,2,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
s7_1034-160,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,2,0,1,1,0,0
s7_1034-161,2,2,1,0,2,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,2
s7_1034-163,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,2,1,1,1,1,1
s7_1034-164,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,2,1,1,0,1
s7_1034-165,1,1,1,0,2,1,1,1,1,0,0,1,1,0,0,0,1,1,1,2,1
s7_1034-167,1,1,1,1,0,2,0,1,1,0,0,0,0,1,2,1,1,1,1,1,1
s5_1034-90,1,1,2,1,1,2,2,1,1,1,1,1,1,1,0,0,0,1,1,1,1
s2_1034-38,1,1,1,2,0,1,1,2,2,0,0,0,0,0,1,1,1,0,0,1,1
s2_1034-34,0,0,0,1,1,2,1,2,2,0,0,0,0,0,0,1,1,0,1,0,0
s2_1034-35,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1
s7_1034-77,1,1,0,2,1,1,1,1,1,1,1,2,2,1,1,1,1,0,1,1,1
s7_1034-74,1,1,1,0,1,1,0,0,0,2,2,1,1,2,1,1,1,0,1,1,1
