Probes,Inv_10b,Inv_20,Inv_21,Inv_22,Inv_24,Inv_29,Inv_30,Inv_32,Inv_35,Inv_39,Inv_40,Inv_43,Inv_45,Inv_48,Inv_50,Inv_51,Inv_54,Inv_56,Inv_62,Inv_6a,Inv_7,Inv_9
s5_664-185,2,1,2,2,1,0,0,1,1,0,0,2,2,2,1,1,1,1,1,2,1,2
s5_664-184,2,0,2,2,2,2,2,2,1,0,0,1,1,1,2,2,0,1,2,1,2,2
s5_664-186,1,1,0,0,0,1,1,1,1,1,1,1,1,2,0,0,1,0,2,0,1,1
s5_664-180,0,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,0,0,1,0,0,0
s5_664-183,0,1,2,2,1,0,0,1,1,1,1,1,1,2,2,2,1,0,2,1,0,0
s5_664-182,1,0,1,1,1,0,1,1,1,1,1,1,1,2,0,0,1,1,1,0,1,1
s5_664-189,0,0,0,0,1,2,1,1,1,0,0,1,1,1,1,1,1,2,2,2,0,0
s3_664-157,2,2,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,0,0,2,2
s1_664-74,0,1,0,0,2,1,1,1,1,1,1,1,1,1,2,2,0,1,1,0,0,0
s1_664-75,0,2,0,0,0,0,0,0,1,2,2,2,2,1,0,0,0,2,0,1,0,0
s1_664-70,1,1,1,2,0,2,2,2,2,1,1,0,0,2,1,1,2,2,1,1,1,1
s1_664-71,0,2,0,0,1,0,1,1,1,1,1,2,2,2,0,0,1,1,1,2,0,0
s1_664-79,1,1,1,1,1,2,2,2,0,2,2,0,0,1,2,2,0,1,1,1,1,1
s4_664-26,2,1,0,0,0,2,2,2,2,0,1,2,2,1,1,1,1,1,1,1,2,2
s4_664-20,0,0,2,2,1,1,1,1,2,0,0,0,0,1,1,1,0,1,0,0,0,0
s4_664-29,2,1,2,2,2,2,2,2,2,1,1,1,1,0,1,1,1,1,1,0,1,2
s4_664-181,1,1,1,1,0,2,2,2,2,1,2,2,1,1,1,1,2,1,0,1,2,1
s4_664-188,1,2,2,2,0,2,0,0,0,1,1,1,1,0,1,1,1,2,0,0,0,1
s4_664-18,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
s1_664-48,2,0,0,0,1,0,0,0,2,0,0,2,2,2,0,0,2,1,2,1,2,2
s1_664-43,1,1,1,1,2,2,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1
s1_664-45,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1
s14_664-47,2,1,1,1,1,0,1,1,0,1,1,1,1,0,2,2,0,0,2,0,2,2
s7_664-97,1,1,2,2,1,2,2,1,1,1,2,1,1,1,2,2,1,0,0,2,1,1
s5_664-54c,0,1,1,1,0,0,0,0,0,1,1,2,2,0,1,1,1,1,1,2,0,0
s14_664-30,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2
s1_664-56,0,0,2,2,1,2,2,1,1,1,2,2,2,1,1,1,2,0,0,1,0,0
s1_664-57,0,1,1,1,1,1,1,0,0,1,1,2,2,0,1,1,0,0,1,1,0,0
s1_664-50,1,1,2,2,1,1,1,1,2,0,0,0,0,2,0,0,1,1,0,1,0,1
s5_664-156,1,1,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1
s5_664-46,0,0,0,0,0,2,2,2,1,1,1,0,0,1,1,1,2,2,1,2,0,0
s14_664-25,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,2,0,1,0,1
s3_664-195,0,2,1,1,0,2,2,2,1,1,1,2,2,1,2,2,0,2,1,1,0,0
s3_664-190,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1
s3_664-192,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,0,2,0,0,2,2
s3_664-193,1,1,0,0,2,1,2,2,2,1,1,1,1,2,2,2,2,1,0,1,1,1
s2_664-99,1,0,0,0,0,1,2,2,1,2,2,1,1,2,0,0,0,0,0,2,1,1
s1_664-108,0,2,2,2,2,2,2,2,2,1,1,1,1,2,0,0,1,1,1,1,0,0
s4_664-155b,2,1,0,0,2,1,1,1,1,2,1,0,0,0,1,1,0,0,1,1,2,2
s4_664-155a,2,1,1,1,1,0,1,1,2,1,1,1,1,0,1,1,1,0,1,1,1,2
