Probes,Inv_10b,Inv_14,Inv_18,Inv_23,Inv_29,Inv_32,Inv_35,Inv_36,Inv_37,Inv_39,Inv_40,Inv_49,Inv_48,Inv_5,Inv_53,Inv_57,Inv_59,Inv_62,Inv_7,Inv_8
s7_62-83,1,1,2,2,0,0,1,0,0,2,2,1,0,1,1,0,0,1,1,1
s7_62-88,0,2,0,1,0,2,2,2,2,1,1,1,2,1,1,2,2,2,1,0
s4_62-133,1,0,0,2,2,1,1,0,1,1,1,1,1,1,2,2,1,1,1,1
s4_62-138,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1
s3_62-98,2,0,1,0,1,0,0,1,0,1,0,2,1,1,1,2,2,1,1,2
s3_62-95,0,2,1,2,1,0,1,2,2,1,1,1,2,2,1,0,0,1,0,0
s3_62-190,1,1,1,1,2,2,1,1,1,1,1,1,0,0,0,1,1,2,1,1
s4_62-90,2,1,1,1,0,1,2,1,0,2,2,1,1,2,1,1,1,1,1,2
s4_62-96,0,2,1,2,0,1,2,1,1,2,2,1,2,1,0,0,0,0,1,0
s7_62-97,2,1,1,1,2,2,2,1,1,1,1,1,1,0,1,1,1,0,2,2
s4_62-107,0,0,0,1,2,1,0,1,1,2,1,0,1,1,1,2,2,1,1,0
s4_62-103,2,1,1,1,0,0,0,1,1,2,1,1,1,2,0,2,1,0,2,2
s4_62-101,2,1,1,2,1,2,1,2,2,1,1,2,0,0,1,2,2,0,2,2
s4_62-109,1,1,1,1,1,2,1,0,0,1,1,0,0,1,2,0,0,1,1,1
s3_62-155,2,2,1,2,0,2,1,2,1,1,1,0,1,2,1,1,1,1,2,2
s5_62-124,0,2,2,2,1,2,2,1,1,1,1,1,1,1,0,1,0,2,0,0
s3_62-186,2,2,1,1,2,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2
s3_62-187,2,1,1,1,1,1,1,1,1,2,1,0,1,1,2,0,0,1,2,2
s3_62-182,2,1,2,0,2,1,2,0,1,0,0,2,1,1,0,0,0,0,2,2
s3_62-180,2,0,1,1,1,1,2,2,2,0,0,0,1,2,0,1,1,0,2,2
s3_62-181,1,1,1,0,1,1,1,1,0,2,2,0,1,1,1,1,0,1,1,1
s3_62-189,1,2,1,0,1,2,1,1,1,2,2,2,1,0,2,1,1,1,1,1
s7_62-129,0,1,1,1,0,0,2,0,0,0,0,1,2,1,2,2,1,0,0,0
s4_62-89,0,1,1,1,2,1,1,1,1,1,1,2,1,2,2,0,0,0,0,0
s4_62-85,2,0,0,1,2,1,0,1,0,2,2,1,0,1,1,2,1,1,1,1
s4_62-84,1,2,2,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1
s4_62-86,0,0,2,1,2,1,0,2,2,2,2,0,1,2,1,1,1,1,1,0
s4_62-82,1,1,1,0,1,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1
s5_62-131,0,2,1,1,1,1,1,1,2,0,0,1,1,1,1,1,1,1,1,0
s5_62-130,1,1,1,2,0,2,2,1,2,1,1,0,1,2,0,1,1,0,1,1
s5_62-132,1,2,2,1,2,0,0,1,1,1,1,1,0,0,1,1,2,2,1,1
s5_62-135,0,1,2,0,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2
s5_62-134,1,1,0,0,1,1,1,1,2,0,1,1,1,1,2,1,2,0,2,1
s5_62-137,1,1,0,1,1,1,1,2,2,1,1,2,1,0,2,0,1,1,1,1
s5_62-139,1,1,0,0,1,0,0,1,1,0,0,0,1,2,0,1,1,1,1,1
s7_62-148,0,0,0,2,1,2,1,2,2,1,1,1,1,2,1,1,1,0,0,0
s7_62-149,0,2,1,2,1,1,1,1,1,0,0,1,0,2,2,2,2,2,0,0
s5_62-123,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,2,2,1,2,1
s5_62-121,1,2,1,1,1,1,1,2,2,0,1,0,0,0,1,0,1,1,1,1
s5_62-126,1,1,2,2,1,1,0,0,1,0,0,1,1,2,2,0,0,0,1,1
s3_62-154,0,1,0,1,0,0,0,1,0,1,1,0,2,2,2,1,2,2,1,1
s3_62-157,0,1,1,2,2,2,2,0,0,1,1,2,1,0,2,2,2,2,0,0
s5_62-125,1,2,1,2,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1
s4_62-143,2,1,0,1,2,2,0,0,1,0,0,2,1,2,1,1,1,1,2,2
s4_62-140,2,0,2,1,2,2,1,1,2,1,1,0,0,2,1,0,0,0,2,2
s4_62-144,0,0,0,1,2,2,0,1,1,1,1,1,1,1,1,1,1,1,0,0
s57_62-142,1,0,1,0,0,1,2,0,0,0,0,0,1,1,1,0,1,0,1,1
s47_62-87,1,2,1,1,0,0,2,0,0,2,2,1,1,1,2,1,1,0,1,0
s5_62-117,1,0,1,1,0,0,1,1,1,0,0,1,2,2,0,1,2,1,1,1
s5_62-116,2,2,0,0,1,1,1,0,0,1,1,0,1,1,0,2,2,1,2,2
s5_62-115,0,2,0,0,1,1,2,1,2,2,2,1,1,2,0,1,1,2,0,0
s5_62-114,2,0,0,1,2,1,1,0,0,2,2,1,1,1,0,0,1,1,1,2
s5_62-113,1,2,2,1,0,1,0,1,2,2,2,1,1,1,1,2,2,2,1,1
s5_62-111,1,0,0,1,1,2,1,1,2,2,2,1,1,1,1,0,0,0,0,1
s5_62-110,2,2,0,2,0,1,2,1,1,1,1,2,0,2,2,1,1,1,1,1
s5_62-119,1,1,1,2,1,0,0,0,1,0,0,2,0,1,0,2,1,1,1,1
s4_62-151,1,1,1,1,0,0,0,1,1,0,0,0,2,0,2,2,1,1,2,1
s5_62-108,1,2,1,1,2,2,2,1,1,1,1,0,1,1,0,1,1,1,1,1
s5_62-104,0,1,1,2,2,0,1,1,0,0,0,1,1,1,2,1,1,2,0,0
s5_62-105,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,1,2,2
s3_62-177,1,1,2,0,1,1,0,2,2,1,1,0,1,1,1,1,1,1,1,1
s3_62-176,1,1,0,1,2,2,1,2,1,1,1,1,0,2,1,0,0,1,1,1
s3_62-175,0,0,1,2,1,2,2,1,2,1,1,0,0,0,2,2,2,2,0,0
s3_62-173,2,0,1,1,1,1,1,0,2,0,1,2,1,0,0,1,1,2,1,2
